Location,Area (sqm),Property Type,Bedrooms,Bathrooms,Building Age (years),Furnishing Status,Floor Level,Amenities,Nearby Facility,Price 2023 (EGP),Price 2024 (EGP),Price 2025 (EGP)
6th of October,301,Apartment,4,2,0,Semi-Furnished,11,Swimming Pool,Hospital,"2,935,489","3,686,166","4,487,060"
Sheikh Zayed,383,Villa,4,3,1,Furnished,16,Swimming Pool,Metro Station,"5,090,265","6,331,040","7,785,079"
Nasr City,278,Apartment,1,2,15,Semi-Furnished,0,Swimming Pool,Hospital,"3,077,024","3,408,397","4,005,026"
Sheikh Zayed,251,Villa,1,2,11,Furnished,14,Swimming Pool,School,"2,757,811","3,315,921","4,020,513"
Sheikh Zayed,76,Apartment,4,2,7,Semi-Furnished,13,Gym,Hospital,"623,381","756,821","913,615"
Maadi,71,Villa,2,3,22,Furnished,19,None,Hospital,"622,595","759,346","936,488"
Nasr City,252,Villa,3,1,17,Unfurnished,15,Garden,Metro Station,"2,290,865","2,918,680","3,620,941"
Nasr City,81,Apartment,1,3,1,Furnished,8,Swimming Pool,Hospital,"1,087,440","1,370,262","1,577,467"
Nasr City,179,Villa,2,1,24,Semi-Furnished,0,None,Mall,"1,831,321","2,348,433","2,858,988"
Sheikh Zayed,269,Apartment,5,2,28,Furnished,16,Swimming Pool,Metro Station,"3,409,701","4,533,078","5,236,538"
6th of October,365,Apartment,1,1,12,Unfurnished,12,Gym,Hospital,"3,095,210","4,159,639","5,011,890"
Nasr City,329,Apartment,2,3,5,Furnished,4,Gym,Hospital,"3,267,601","4,298,323","5,066,705"
Sheikh Zayed,251,Villa,2,3,20,Semi-Furnished,9,None,Metro Station,"3,466,592","4,806,974","5,675,487"
Maadi,234,Villa,3,2,25,Semi-Furnished,5,None,Hospital,"2,601,010","2,875,338","3,408,126"
6th of October,344,Apartment,3,1,5,Unfurnished,18,None,School,"2,808,577","3,254,393","3,944,745"
Maadi,263,Apartment,5,2,8,Semi-Furnished,12,Gym,Mall,"2,527,599","2,786,093","3,297,077"
6th of October,223,Villa,2,2,15,Furnished,0,Gym,Mall,"1,985,915","2,570,255","3,144,116"
Sheikh Zayed,310,Villa,2,3,10,Furnished,19,Garden,School,"3,849,853","5,272,025","6,276,096"
New Cairo,286,Villa,3,1,6,Furnished,14,None,Hospital,"3,526,966","4,137,289","4,786,162"
6th of October,66,Apartment,1,1,9,Semi-Furnished,13,Garden,Hospital,"551,695","760,297","933,931"
Maadi,88,Apartment,1,1,9,Furnished,7,Swimming Pool,Mall,"927,285","1,036,779","1,221,923"
Sheikh Zayed,92,Apartment,4,1,29,Furnished,9,Garden,Hospital,"995,136","1,373,617","1,639,106"
6th of October,193,Apartment,3,2,24,Furnished,8,Swimming Pool,Mall,"1,597,446","1,925,701","2,346,552"
New Cairo,138,Apartment,4,2,19,Unfurnished,16,Swimming Pool,Mall,"2,200,712","2,487,742","2,943,610"
New Cairo,117,Villa,3,3,17,Semi-Furnished,8,Garden,School,"1,633,184","2,034,558","2,351,254"
Nasr City,85,Apartment,5,2,27,Semi-Furnished,2,None,Mall,"804,945","947,447","1,124,991"
Nasr City,285,Villa,2,2,23,Semi-Furnished,10,Swimming Pool,Hospital,"2,047,728","2,427,503","3,020,894"
Maadi,344,Villa,5,3,19,Unfurnished,11,None,Hospital,"3,788,678","4,516,813","5,484,194"
6th of October,63,Apartment,3,3,28,Semi-Furnished,9,Gym,Metro Station,"527,807","707,741","861,425"
6th of October,158,Villa,2,3,8,Unfurnished,16,Swimming Pool,Hospital,"1,192,121","1,504,157","1,824,885"
Nasr City,98,Apartment,1,2,14,Unfurnished,16,Gym,Metro Station,"826,614","986,475","1,154,076"
6th of October,330,Villa,1,2,3,Semi-Furnished,10,Garden,Mall,"2,599,799","3,335,803","3,975,721"
6th of October,344,Apartment,4,3,7,Furnished,3,None,Hospital,"2,446,648","3,216,963","3,941,083"
New Cairo,216,Apartment,3,3,8,Furnished,6,Garden,School,"3,939,652","4,655,831","5,401,403"
Nasr City,134,Villa,3,3,12,Semi-Furnished,13,Swimming Pool,School,"1,718,282","2,103,288","2,477,222"
Sheikh Zayed,347,Apartment,1,2,8,Semi-Furnished,6,Gym,School,"4,517,848","5,134,831","6,046,941"
Nasr City,189,Villa,5,2,25,Unfurnished,7,Swimming Pool,Mall,"2,080,044","2,401,088","2,864,982"
Sheikh Zayed,234,Apartment,2,1,3,Semi-Furnished,0,Garden,Mall,"1,847,258","2,409,444","3,007,076"
New Cairo,143,Apartment,5,2,16,Unfurnished,3,None,Metro Station,"2,238,343","2,584,014","2,989,059"
Maadi,81,Apartment,5,2,15,Semi-Furnished,11,None,School,"920,205","1,157,203","1,390,807"
6th of October,86,Villa,1,2,14,Furnished,2,Swimming Pool,Metro Station,"635,185","833,816","973,844"
New Cairo,254,Villa,1,3,2,Furnished,12,Swimming Pool,Metro Station,"4,051,796","4,586,889","5,720,161"
6th of October,396,Apartment,1,2,24,Semi-Furnished,19,Gym,Hospital,"2,888,423","3,668,857","4,260,755"
Maadi,295,Villa,4,3,19,Unfurnished,5,Garden,Hospital,"4,148,323","4,882,447","5,811,871"
Maadi,151,Apartment,5,1,4,Furnished,10,Swimming Pool,School,"1,592,866","2,212,296","2,707,383"
New Cairo,80,Villa,3,1,22,Unfurnished,3,Gym,Mall,"1,529,369","1,904,162","2,323,945"
Maadi,362,Villa,2,3,4,Semi-Furnished,19,Swimming Pool,Hospital,"4,703,805","6,311,555","7,525,096"
Sheikh Zayed,143,Apartment,4,3,19,Semi-Furnished,15,None,Mall,"1,463,675","1,851,649","2,193,560"
Maadi,321,Apartment,3,3,14,Furnished,6,Gym,Metro Station,"3,314,333","3,688,931","4,388,948"
6th of October,206,Apartment,5,2,17,Semi-Furnished,10,Gym,Metro Station,"1,840,494","2,374,137","2,793,001"
